"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\gender\neuter.json", "JSON", 4581, 0, 0, 0, 0, 0, 0, 0, 0, 4581
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\grammaticalisations.jsx", "JavaScript JSX", 0, 0, 1154, 0, 0, 0, 0, 0, 8, 1162
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\meaningKeys.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\potentialAffixArray.jsx", "JavaScript JSX", 0, 0, 8790, 0, 0, 0, 0, 10, 38, 8838
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\semanticDrifts.jsx", "JavaScript JSX", 0, 0, 40130, 0, 0, 0, 0, 0, 3, 40133
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\themes.jsx", "JavaScript JSX", 0, 0, 160, 0, 0, 0, 0, 0, 15, 175
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\thesaurus.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\wikiDictionaryDump\english_headwords_deduped.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 0, -697990, 0, -2, -697992
"c:\Users\awowi\Documents\GitHub\Elatha\notes.md", "Markdown", 0, 340, 0, 0, 0, 0, 0, 0, 67, 407
"c:\Users\awowi\Documents\GitHub\Elatha\vercel.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"Total", "-", 2935004, 340, 48519, 4999231, 147, 4, -697990, 720, 2514, 7288489
